Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn,,tps, kB_read/s, kB_wrtn/s,kB_read,kB_wrtn
sda              27.86         0.00        71.64          0        144,,27.86,0,71,0,144
sda              85.00         0.00       292.00          0        584,,85,0,292,0,584
sda              31.50         0.00        78.00          0        156,,31.5,0,78,0,156
sda              49.50         0.00       132.00          0        264,,49.5,0,132,0,264
sda              13.00         0.00        34.00          0         68,,13,0,34,0,68
sda              57.00         0.00       144.00          0        288,,57,0,144,0,288
sda              28.00         0.00       142.00          0        284,,28,0,142,0,284
sda              56.00         0.00       164.00          0        328,,56,0,164,0,328
sda              42.50         0.00       130.00          0        260,,42,0,130,0,260
sda              57.00         0.00       154.00          0        308,,57,0,154,0,308
